model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_original_RMSE,official_original_R2,official_original_mean_error,official_original_overestimation_share,official_original_max_overestimation,official_near_failure_MAE,official_warning_zone_MAE,recommended_shift,official_calibrated_MAE,official_calibrated_RMSE,official_calibrated_R2,official_calibrated_mean_error,official_calibrated_overestimation_share,official_calibrated_max_overestimation,official_calibrated_near_failure_MAE,official_calibrated_warning_zone_MAE
candidate_13,top_fitness,0deeb16e2638c6890b47f3519e7357f6,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",403,25.256673899999896,8.387205010325602,12.561790827663469,11.426575919046666,15.23946473611768,0.8655131311342938,-4.448524979468258,0.39,35.326514674871774,5.064138518904262,5.624799729719952,0.5,11.545144794773794,15.392849327621011,0.8627922974480281,-4.948524979468258,0.37,34.826514674871774,5.044138518904261,5.674824911841393
candidate_21,top_mae,0667e9dd94468dac419eec524dd2a320,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",427,39.0561252,8.537936595170471,12.767984651193197,11.441454354492413,15.103576663861665,0.8679008374221501,-4.451579815683149,0.39,35.600901805520024,5.081248504293211,5.913626380870626,0.5,11.563098822028714,15.258427437217433,0.8651782347336303,-4.951579815683149,0.36,35.100901805520024,5.035852048330874,5.947590116835308
candidate_19,top_mae,55b290c9608fdc047ee0afe964799985,80,130.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",427,38.80715570000007,8.326087514487874,12.695065233479232,11.487019709151857,15.10144166034484,0.8679381811916784,-3.5800099828472485,0.4,36.85078028740939,5.138446337590137,5.894632749170812,0.5,11.595865484438878,15.227723080081471,0.865720289358475,-4.080009982847249,0.39,36.35078028740939,5.118446337590137,5.917254956741517
candidate_16,top_fitness,eeeefa670b6d89d0ddd596f918c699de,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",427,24.93347709999989,8.471897491438012,12.669328145066885,11.483471855082149,15.203089981884707,0.8661543726305199,-4.290510142241774,0.38,34.95661579102182,5.060135455154121,5.806554429955882,0.5,11.60532176034443,15.35169225654048,0.863525042574422,-4.790510142241774,0.37,34.45661579102182,5.040135455154122,5.846847990322245
candidate_10,top_fitness,6239cf2cf171f3fbbd24eadb1bea5c5b,80,150.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",427,27.32034569999996,7.941997320115698,12.451576064047687,11.5387520734808,15.403280386427078,0.8626062751565671,-1.1036995005403392,0.42,42.816473577202885,5.265838039974243,6.010651863995496,0.5,11.619456081417306,15.447159808956126,0.86182237143822,-1.6036995005403396,0.41,42.316473577202885,5.245838039974243,5.9853813224455426
candidate_20,top_mae,1209827b89ee1449ce94cf69f5212e28,80,150.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""volatility""]",379,36.0388089999999,8.202795957412818,12.70809841489077,11.557622591619886,15.38498480126506,0.8629324661600639,-1.2572265539788778,0.43,42.46727372815184,5.175989589620168,6.341425594587889,0.5,11.630864901744774,15.433890756680112,0.862059657608695,-1.7572265539788778,0.42,41.96727372815184,5.128958830119712,6.312013829882007
candidate_7,top_fitness,d6d6649155ada136813217fd28602c31,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles""]",403,26.926613100000168,8.605695798596447,12.383079223334803,11.639140621590768,15.394350159250044,0.8627655401278695,-5.237479491191397,0.35,32.36553244917859,5.065376886842989,5.877268687799206,0.5,11.795556582173043,15.571560497162551,0.8595878366746433,-5.737479491191397,0.34,31.865532449178588,5.045376886842989,5.906680452505088
candidate_8,top_fitness,63d957a3cfb5e2f2cc7061644cd314b7,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",427,26.334971300000007,8.5774639032734,12.420167748528225,11.771535103438621,15.53650181396527,0.8602193885309313,-5.459897291631267,0.36,32.15983471512551,4.947379697410143,5.75138630438956,0.5,11.914045160388453,15.719185281272608,0.8569128868172922,-5.959897291631267,0.35,31.659834715125513,4.927379697410142,5.780798069095442
candidate_14,top_fitness,3c2882f820494904f23ff90c476cf30a,80,120.0,"[""edge_means"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",403,25.443425400000024,8.70776297542604,12.612604212285035,11.776911953214391,15.544511008504161,0.8600752352734062,-5.435625016897424,0.36,31.727659763560766,4.996211848175808,6.216362395192631,0.5,11.929010561298417,15.726329753327844,0.8567827892097906,-5.935625016897424,0.33,31.227659763560766,4.976211848175809,6.278069036206366
candidate_9,top_fitness,5af76fa3254a2d47df08c25d8e936757,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles""]",379,23.632774700000027,8.563914271427667,12.426980482185233,11.85540076609341,15.661721446853422,0.8579571273483368,-5.309862927189131,0.36,33.66057335619902,5.090254776987379,5.99414597082812,0.5,12.00022187789866,15.838225330068315,0.8547375079125733,-5.809862927189131,0.35,33.16057335619902,5.07025477698738,6.023557735534002
