selected_blocks,window_size,rul_cap,rf_max_depth,rf_min_samples_leaf,rf_min_samples_split,rf_max_features,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,feature_count,train_seconds,fitness,candidate_hash,status,from_cache,source_group,is_allowed_final_cap
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,,16,3,5,0.4,10.170135112307618,15.11334840467821,0.8956956533660029,6.227098612381358,0.7166666666666667,52.58654883165383,4.160401212000756,8.516436972500673,403.0,21.53252839999999,15.454303868264017,6ab1fff6d27303f70be8695d5839c82e,ok,False,cap_none,True
"['delta', 'first', 'iqr', 'max', 'min', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope', 'std']",80,,24,5,5,,10.430097716242308,15.903054143319839,0.8845106083279738,5.560321772562664,0.7,68.28507903161258,4.616801715577703,8.236330131575956,307.0,24.019584899999984,16.162119498323047,4d1bcd48f2373cb87b4673d329e65ee3,ok,False,cap_none,True
"['last', 'median', 'rms', 'std', 'volatility']",100,,24,1,10,0.6,12.781683471504797,19.855142978248285,0.81997738901721,9.743250317999305,0.775,63.22353797229846,4.4134190723566284,10.27816784740995,163.0,35.1837407,18.719126613252946,7010f628f2b8f23b01c2170791b7c58a,ok,False,cap_none,True
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'tail_quantiles', 'volatility']",50,,16,3,5,0.4,13.142246138538761,20.07237503164139,0.8160166407551048,9.594784830289564,0.725,65.5425898322037,4.633125060858737,12.603477376653688,379.0,25.032877599999892,19.068637935874065,50b82b7ac4bfb7aee11cf34ad27b4301,ok,False,cap_none,True
"['delta', 'edge_means', 'first', 'max', 'mean', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope_change', 'tail_quantiles', 'volatility']",100,,12,4,2,,13.263073961568717,21.534424265404077,0.7882382345639007,8.781714829994671,0.7,88.66288906502095,4.5395884550608745,11.828582872842068,379.0,23.40811169999995,19.74085456304033,2898e0487ceb31f75d24456842d49660,ok,False,cap_none,True
"['edge_means', 'first', 'iqr', 'last', 'max', 'mean', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'std']",50,,20,3,5,,14.410305949633043,22.760377932466028,0.7634407377946915,10.24120458123327,0.75,87.27513888888885,4.79913917055567,11.911313186863152,403.0,53.9707591,21.08090934424091,e722a2b98432005e2fb4b3214deef2fc,ok,False,cap_none,True
"['edge_means', 'first', 'last', 'max', 'mean', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles']",80,120.0,16,3,5,0.4,8.605695798596447,13.231065878747291,0.9200587964726011,-0.42852994470578476,0.525,30.064644398792367,3.982344139786416,7.439069900005423,403.0,20.719515099999967,12.383079223334803,d6d6649155ada136813217fd28602c31,ok,False,top_fitness,True
"['edge_means', 'first', 'last', 'max', 'mean', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,120.0,16,3,5,0.4,8.5774639032734,12.948557970898264,0.9234361383873126,-0.026856037894972217,0.5416666666666666,28.893186688765354,4.160630090569935,7.749149176420174,427.0,20.828607699999964,12.420167748528225,63d957a3cfb5e2f2cc7061644cd314b7,ok,False,top_fitness,True
"['edge_means', 'first', 'last', 'max', 'mean', 'min', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles']",80,120.0,16,3,5,0.4,8.563914271427667,13.185738914309079,0.9206055831707957,-0.23040587115716385,0.5416666666666666,30.60317072554244,3.9224204398364955,7.690349238606198,379.0,20.69281799999999,12.426980482185233,5af76fa3254a2d47df08c25d8e936757,ok,False,top_fitness,True
"['edge_means', 'first', 'last', 'max', 'mean', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,150.0,16,3,5,0.4,7.941997320115698,11.95595986864868,0.9347245437725064,3.1695938027976314,0.6166666666666667,41.02606220433374,4.102437052998566,7.995944119387053,427.0,21.531830799999966,12.451576064047687,6239cf2cf171f3fbbd24eadb1bea5c5b,ok,False,top_fitness,True
"['first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,120.0,16,3,5,0.4,8.604857409769393,13.127788551813195,0.9213019149998345,-0.26988912192177256,0.55,29.299675670756912,4.07447632551254,7.959386850383614,355.0,20.141284199999973,12.491160312968951,83ebcf806ff486dd4551b13f7c6167d4,ok,False,top_fitness,True
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,120.0,16,3,5,0.4,8.62812504456675,13.084495172857109,0.9218201268759781,-0.28084116693883165,0.5583333333333333,29.30391160650659,4.147117940474647,7.78421552463499,403.0,21.209896800000024,12.549598499937638,c3ea02c389ebd390b52b48b3716c4cf9,ok,False,top_fitness,True
"['edge_means', 'first', 'last', 'max', 'min', 'range', 'relative_delta', 'rms', 'slope', 'slope_change', 'std', 'tail_quantiles', 'volatility']",80,125.0,16,3,5,0.4,8.387205010325602,12.753452737924938,0.9257260411273107,0.5559492755258107,0.5916666666666667,33.45633325042574,4.032354780743755,8.008664486729415,403.0,19.375036600000044,12.561790827663469,0deeb16e2638c6890b47f3519e7357f6,ok,False,top_fitness,True
"['edge_means', 'last', 'max', 'mean', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,120.0,16,3,5,0.4,8.70776297542604,13.22297371106286,0.9201565512275549,-0.18506270237036732,0.5416666666666666,30.7540952452501,4.132732862296647,7.99059423398071,403.0,20.9459114,12.612604212285035,3c2882f820494904f23ff90c476cf30a,ok,False,top_fitness,True
"['first', 'iqr', 'last', 'max', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,120.0,16,3,5,0.4,8.79039591833387,13.31892122505227,0.9189936397122256,-0.42147987742059906,0.5333333333333333,30.242548434298314,4.002491958849277,7.997586965159422,379.0,19.13788599999998,12.631208218364442,f951d3d7c36fb14d1bd64d7ce9cdcf76,ok,False,top_fitness,True
"['edge_means', 'first', 'last', 'max', 'mean', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'slope_change', 'tail_quantiles', 'volatility']",80,125.0,16,3,5,0.4,8.471897491438012,12.839486828840725,0.9247205649996287,0.6435523818959025,0.575,35.55363943495486,4.208747727457875,8.144293582132025,427.0,20.508089100000007,12.669328145066885,eeeefa670b6d89d0ddd596f918c699de,ok,False,top_fitness,True
