model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_calibrated_MAE,official_original_overestimation_share,official_calibrated_overestimation_share,official_original_max_overestimation,official_calibrated_max_overestimation,official_near_failure_MAE,official_calibrated_near_failure_MAE,recommended_shift
Week 3 calibrated aggregated RF,week3_fallback,week3_reference,50,,manual_aggregated_blocks,432,,,,,12.5,,,,,,,5.0
candidate_13,top_fitness,0deeb16e2638c6890b47f3519e7357f6,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",403,25.256673899999896,8.387205010325602,12.561790827663469,11.426575919046666,11.545144794773794,0.39,0.37,35.326514674871774,34.826514674871774,5.064138518904262,5.044138518904261,0.5
candidate_21,top_mae,0667e9dd94468dac419eec524dd2a320,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",427,39.0561252,8.537936595170471,12.767984651193197,11.441454354492413,11.563098822028714,0.39,0.36,35.600901805520024,35.100901805520024,5.081248504293211,5.035852048330874,0.5
candidate_19,top_mae,55b290c9608fdc047ee0afe964799985,80,130.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",427,38.80715570000007,8.326087514487874,12.695065233479232,11.487019709151857,11.595865484438878,0.4,0.39,36.85078028740939,36.35078028740939,5.138446337590137,5.118446337590137,0.5
candidate_16,top_fitness,eeeefa670b6d89d0ddd596f918c699de,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",427,24.93347709999989,8.471897491438012,12.669328145066885,11.483471855082149,11.60532176034443,0.38,0.37,34.95661579102182,34.45661579102182,5.060135455154121,5.040135455154122,0.5
candidate_10,top_fitness,6239cf2cf171f3fbbd24eadb1bea5c5b,80,150.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",427,27.32034569999996,7.941997320115698,12.451576064047687,11.5387520734808,11.619456081417306,0.42,0.41,42.816473577202885,42.316473577202885,5.265838039974243,5.245838039974243,0.5
candidate_20,top_mae,1209827b89ee1449ce94cf69f5212e28,80,150.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""volatility""]",379,36.0388089999999,8.202795957412818,12.70809841489077,11.557622591619886,11.630864901744774,0.43,0.42,42.46727372815184,41.96727372815184,5.175989589620168,5.128958830119712,0.5
candidate_7,top_fitness,d6d6649155ada136813217fd28602c31,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles""]",403,26.926613100000168,8.605695798596447,12.383079223334803,11.639140621590768,11.795556582173043,0.35,0.34,32.36553244917859,31.865532449178588,5.065376886842989,5.045376886842989,0.5
candidate_8,top_fitness,63d957a3cfb5e2f2cc7061644cd314b7,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",427,26.334971300000007,8.5774639032734,12.420167748528225,11.771535103438621,11.914045160388453,0.36,0.35,32.15983471512551,31.659834715125513,4.947379697410143,4.927379697410142,0.5
candidate_14,top_fitness,3c2882f820494904f23ff90c476cf30a,80,120.0,"[""edge_means"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",403,25.443425400000024,8.70776297542604,12.612604212285035,11.776911953214391,11.929010561298417,0.36,0.33,31.727659763560766,31.227659763560766,4.996211848175808,4.976211848175809,0.5
candidate_9,top_fitness,5af76fa3254a2d47df08c25d8e936757,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles""]",379,23.632774700000027,8.563914271427667,12.426980482185233,11.85540076609341,12.00022187789866,0.36,0.35,33.66057335619902,33.16057335619902,5.090254776987379,5.07025477698738,0.5
candidate_12,top_fitness,c3ea02c389ebd390b52b48b3716c4cf9,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",403,24.990082699999903,8.62812504456675,12.549598499937638,11.876933316591838,12.02068370774981,0.36,0.35,33.9786936427239,33.4786936427239,5.204598177449518,5.1845981774495185,0.5
candidate_17,top_low_overestimation,35dc8d373e76d0045b3dcabaa65fe344,80,120.0,"[""edge_means"", ""first"", ""last"", ""max"", ""mean"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",403,24.81931089999989,8.781646849478097,12.681281576707992,11.80775549884537,12.094611840114453,0.36,0.33,32.21089583374918,31.210895833749177,5.277148296611379,5.250046336003361,1.0
candidate_11,top_fitness,83ebcf806ff486dd4551b13f7c6167d4,80,120.0,"[""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",355,22.71544760000006,8.604857409769393,12.491160312968951,11.804102626261948,12.127992369353825,0.34,0.33,31.128302620127172,30.128302620127172,5.068137143912931,5.043696116280432,1.0
candidate_15,top_fitness,f951d3d7c36fb14d1bd64d7ce9cdcf76,80,120.0,"[""first"", ""iqr"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""tail_quantiles"", ""volatility""]",379,22.33765399999993,8.79039591833387,12.631208218364442,12.010717841136511,12.30606846552017,0.36,0.32,31.465305365808987,30.465305365808987,5.038294181294722,5.009878483104024,1.0
