model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_calibrated_MAE,official_original_overestimation_share,official_calibrated_overestimation_share,official_original_max_overestimation,official_calibrated_max_overestimation,official_near_failure_MAE,official_calibrated_near_failure_MAE,recommended_shift
Week 3 calibrated aggregated RF,week3_fallback,week3_reference,50,,manual_aggregated_blocks,432,,,,,12.5,,,,,,,5.0
candidate_15,top_low_overestimation,2898e0487ceb31f75d24456842d49660,100,,"[""delta"", ""edge_means"", ""first"", ""max"", ""mean"", ""range"", ""relative_delta"", ""rms"", ""robust_spread"", ""slope_change"", ""tail_quantiles"", ""volatility""]",379,65.67534669999986,8.457474153559104,13.063566985612717,10.878381697966558,10.94738744862321,0.44,0.42,35.23840715486941,34.73840715486941,5.26862955143705,5.12862955143705,0.5
candidate_22,top_near_failure,0667e9dd94468dac419eec524dd2a320,80,125.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",427,39.24831649999942,6.82716647190881,11.261359022607834,11.451457325928242,11.573101793464545,0.39,0.36,35.60090180552007,35.10090180552007,5.086731751046458,5.041335295084121,0.5
candidate_21,top_near_failure,73971c956b3e4407df08d138f006eb7c,80,150.0,"[""edge_means"", ""first"", ""last"", ""max"", ""min"", ""range"", ""relative_delta"", ""relative_last_minus_mean"", ""rms"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",427,41.245469099999355,6.827166471908808,11.261359022607834,11.451457325928247,11.573101793464545,0.39,0.36,35.600901805520024,35.100901805520024,5.086731751046457,5.04133529508412,0.5
candidate_14,top_low_overestimation,c03e1c93bc54d09ce492393e64c3cdd2,50,,"[""last_minus_mean"", ""mean"", ""slope"", ""std"", ""volatility""]",163,30.961727299999893,7.539331341803412,11.893329287114298,11.674957897798658,11.74810125754097,0.43,0.41,36.043327512791876,35.543327512791876,6.041071233689031,5.981071233689031,0.5
candidate_7,top_fitness,07a4c6d2aace3304493b5c3533345de0,100,120.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",235,45.44228629999998,6.549506035137116,10.766716170983324,11.826130983821878,11.925977265735511,0.41,0.4,28.568799465720517,28.068799465720517,5.182954396462865,5.122954396462864,0.5
candidate_18,top_near_failure,f9989ff9018a5537d26b8f00a235dcc4,100,130.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",187,23.37631420000025,6.700533108352286,11.092158489542282,11.938125191759767,12.027473396157289,0.44,0.4,30.899412944157163,30.399412944157163,5.08715271667393,4.999310560876799,0.5
candidate_19,top_near_failure,1f251a311c4b6c9d9c38593007e33359,100,,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",187,23.93552279999949,6.700533108352286,11.092158489542284,11.938125191759768,12.027473396157289,0.44,0.4,30.899412944157135,30.399412944157135,5.08715271667393,4.999310560876799,0.5
candidate_17,top_mae,564a6538e1db25bea753779a0055925e,100,150.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",187,25.963029600000027,6.700533108352286,11.092158489542282,11.938125191759768,12.02747339615729,0.44,0.4,30.899412944157163,30.399412944157163,5.0871527166739305,4.999310560876799,0.5
candidate_20,top_near_failure,47c0a901a5dfdd25f841ab619a4eabc3,100,125.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",187,22.417156599999544,6.700533108352286,11.092158489542284,11.93812519175977,12.027473396157292,0.44,0.4,30.899412944157163,30.399412944157163,5.08715271667393,4.999310560876799,0.5
