selected_blocks,window_size,rul_cap,rf_max_depth,rf_min_samples_leaf,rf_min_samples_split,rf_max_features,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,feature_count,train_seconds,fitness,candidate_hash,status,from_cache,source_group,is_allowed_final_cap
"['edge_means', 'first', 'max', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'robust_spread', 'slope', 'tail_quantiles', 'volatility']",100,,20,2,4,,7.143228008993267,10.418533803768412,0.9161376777504899,3.8450998407277335,0.68,26.41792517006803,4.414191151110794,9.039644763906823,403.0,95.2237146,11.370486846740445,13f7d88e1fc03c0d617fef0c7e05aaed,ok,False,cap_none,True
"['edge_means', 'first', 'iqr', 'last', 'max', 'mean', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'std']",50,,20,3,5,,7.804213024206072,11.313012261933961,0.9011196056607432,4.151550403168432,0.7,37.703936917480405,4.732487318084846,9.913502060370627,403.0,79.0404021,12.510470199592095,e722a2b98432005e2fb4b3214deef2fc,ok,False,cap_none,True
"['last', 'median', 'rms', 'std', 'volatility']",100,,24,1,10,0.6,8.210340010096735,11.956377888066786,0.8895532503612458,5.089214560917719,0.7,38.31322500630543,4.2479792555741716,10.169031084881656,163.0,57.4118728,12.906336344127096,7010f628f2b8f23b01c2170791b7c58a,ok,False,cap_none,True
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std']",100,120.0,16,4,10,0.6,6.322903609072028,9.391762719988899,0.9318528186671359,3.37666264098495,0.66,29.80527734383371,4.0308913297328495,8.443820476189725,163.0,57.359879500000034,10.517286054813255,c4e64a59a703935574729f02036c2e6c,ok,False,top_fitness,True
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.370335649720847,9.406733104812215,0.9316353935370386,3.31325217487,0.67,31.082474406429213,3.9838682521780657,8.28201046180216,187.0,62.504399100000114,10.632799760560054,1bc0f70ad5a5e2379fef6fca8b313d4e,ok,False,top_fitness,True
"['last_minus_mean', 'mean', 'range', 'slope', 'slope_change', 'std']",100,120.0,16,4,10,0.6,6.3706129537084335,9.231622616686733,0.9341569774716385,3.492345499847539,0.68,30.14902437054161,4.304753966663013,8.238828393710879,187.0,41.90055170000005,10.669017137906158,37e3cc9f2819c27591616e2f4ad7a2eb,ok,False,top_fitness,True
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'tail_quantiles', 'volatility']",100,120.0,16,4,10,0.6,6.549506035137116,9.706710157779582,0.9272056290211195,3.578304957106702,0.66,29.931780467672,4.154355639356215,8.672706766688759,235.0,63.44709119999993,10.766716170983324,07a4c6d2aace3304493b5c3533345de0,ok,False,top_fitness,True
"['iqr', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.560538663447789,9.53448682166319,0.9297658518003206,3.437387197779297,0.66,30.679951965634743,4.196435836760265,8.160674105428802,211.0,59.78757070000006,10.783079053574804,dc474d2ab1369488c85343390d0f536b,ok,False,top_fitness,True
"['last_minus_mean', 'mean', 'rms', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.496453915256833,9.68235776760112,0.9275704268119488,3.776518506882394,0.7,29.783630890913102,3.7609719980889724,8.596369894863274,211.0,61.609082899999976,10.834695397625875,eb6bc82d2cce24e51a7520d3095be4a1,ok,False,top_fitness,True
"['edge_means', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.586781925829208,9.577867570623747,0.9291252842868397,3.5493934037623314,0.69,30.416624232637858,4.215405303368462,8.360216259938621,235.0,66.4608975000001,10.930921727475367,ef20599a6bc21aa852a0ba72976ecbc3,ok,False,top_fitness,True
"['first', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.556130429814515,9.602864154115196,0.9287548599612584,3.6449063986931147,0.7,30.42815856762286,4.1004486249997765,8.359724324634684,211.0,60.30139650000024,10.931400049828571,c38cf4269c904bc9ea06918391ece6c7,ok,False,top_fitness,True
"['last_minus_mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,6.45018300609088,9.438317959665698,0.9311755290441299,3.6313765476108655,0.69,36.18812922874952,4.129840848355566,8.578586633469119,163.0,28.869667899999968,10.969357616160575,5cdd91d56d4a0a46392f8a5ce2435067,ok,False,top_fitness,True
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'volatility']",80,130.0,16,4,10,0.6,6.889716218705035,10.297690859335708,0.9180718074104014,3.264104828912304,0.62,32.515295170101396,4.4985068264962305,8.253091561485542,163.0,66.78764720000004,11.035179282387197,399899c928f3cae5fd2848c7cc3d4003,ok,False,top_fitness,True
"['last_minus_mean', 'mean', 'slope', 'std', 'volatility']",50,,16,4,10,0.6,7.539331341803412,10.437321248828606,0.9158349519770369,3.7891858542823575,0.64,34.27817610515129,4.966859660903138,9.20759723210243,163.0,83.59377109999991,11.893329287114298,c03e1c93bc54d09ce492393e64c3cdd2,ok,False,top_low_overestimation,True
"['delta', 'edge_means', 'first', 'max', 'mean', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope_change', 'tail_quantiles', 'volatility']",100,,12,4,2,,8.457474153559104,12.684934931999818,0.8756831029233885,4.555997653009996,0.66,38.9195613967309,4.67806322724794,10.606523299296262,379.0,83.33033149999994,13.063566985612717,2898e0487ceb31f75d24456842d49660,ok,False,top_low_overestimation,True
"['delta', 'first', 'iqr', 'max', 'median', 'relative_last_minus_mean', 'slope_change', 'volatility']",100,120.0,16,3,4,,8.81089293968302,12.836291925479008,0.8726986982291682,4.8799485341090145,0.67,44.43278344671198,5.398243880305416,12.198245178375881,235.0,68.15733680000005,13.743665760643847,6ee505ee8badf87432c58a78b38ea367,ok,False,top_low_overestimation,True
