model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_original_RMSE,official_original_R2,official_original_mean_error,official_original_overestimation_share,official_original_max_overestimation,official_near_failure_MAE,official_warning_zone_MAE,recommended_shift,official_calibrated_MAE,official_calibrated_RMSE,official_calibrated_R2,official_calibrated_mean_error,official_calibrated_overestimation_share,official_calibrated_max_overestimation,official_calibrated_near_failure_MAE,official_calibrated_warning_zone_MAE
candidate_19,top_low_overestimation,a0f534b1f9e95faf884488db1b38a229,40,125.0,"[""delta"", ""edge_means"", ""first"", ""last_minus_mean"", ""max"", ""mean"", ""median"", ""min"", ""range"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",384,59.08739710000009,7.012539259565821,11.922604795557728,9.688136306295508,13.138146954782565,0.9000440418862765,0.5985750928232274,0.61,37.482696858955805,3.2851714367576847,9.009841759667458,2.0,9.475835903551486,13.19911379730357,0.8991142092986236,-1.4014249071767724,0.47,35.482696858955805,2.5771399440836937,7.984077551653252
candidate_13,top_fitness,37a068ea6aa1269c9e08a796b2d08abf,100,130.0,"[""last_minus_mean"", ""mean"", ""relative_last_minus_mean"", ""slope"", ""slope_change"", ""volatility""]",144,23.13313100000005,5.763831116230147,10.16101646548635,10.012233523558692,14.299377195128624,0.8815937299674714,-2.446086772656257,0.48,44.87162179980676,3.500574497103224,5.309618767795596,0.5,10.045079689516928,14.393341340398376,0.8800324732445224,-2.946086772656258,0.46,44.37162179980676,3.3451321194462698,5.280207003089714
candidate_25,top_mae,279244f39ffce5a97a8855b4d0b63c41,100,130.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""volatility""]",120,17.927353699999912,5.851971580962469,10.351080170383618,10.024658725018336,14.241583179960159,0.8825489246717158,-2.3293647823204173,0.5,44.24613659912737,3.4673282133048575,5.382865161503208,0.5,10.065030532892417,14.331854599250043,0.8810552596130914,-2.829364782320417,0.44,43.74613659912737,3.336561453717713,5.337331457342992
candidate_15,top_fitness,77bc665d3ee1c5f41669d84adc50f19e,100,125.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",192,28.840179700000135,5.844488847458486,10.34020145130021,10.089669433299397,14.036597773157595,0.8859056427622487,-2.678714601278978,0.51,37.727577715331066,3.092523591113931,5.910020144667636,0.5,10.090327922153342,14.140537176737373,0.8842096753300355,-3.178714601278978,0.49,37.227577715331066,2.9031479751122875,5.780622455575632
candidate_7,top_fitness,4886dc07abf3b28a50d9702f86bdbedb,100,120.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""range"", ""slope"", ""slope_change"", ""std""]",192,27.50698209999996,5.365961453765631,9.723638663226648,10.35889463926905,14.38542396110508,0.8801644185868255,-3.4889528049335006,0.49,36.564563586733854,2.930959999527785,6.312141837479738,0.5,10.377708073423419,14.514798494835182,0.8779992563736894,-3.9889528049335006,0.47,36.064563586733854,2.7407727072483423,6.165083013950326
candidate_9,top_fitness,5b70e0dd74bb9e7e72a626433af068a8,100,120.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""rms"", ""slope"", ""slope_change"", ""std"", ""volatility""]",216,31.049699099999998,5.429385842281888,9.761128554444443,10.368465438800783,14.47742484301097,0.878626718493955,-3.7157771794050554,0.47,35.265519832615624,3.0817320425764323,5.885419345581939,0.5,10.406604923634378,14.613747201331911,0.8763302062504104,-4.2157771794050545,0.45,34.765519832615624,2.8320239558085354,5.797184051464292
candidate_10,top_fitness,ef20599a6bc21aa852a0ba72976ecbc3,100,120.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",192,30.38537919999999,5.5164559268984865,9.865654783387235,10.403656500597101,14.478517717472604,0.8786083933059171,-3.739968476919189,0.47,34.79673716070505,3.0866622672685504,6.0463719292060185,0.5,10.436502026033297,14.615657486821702,0.8762978723048415,-4.239968476919189,0.46,34.29673716070505,2.8666622672685502,5.916051490595415
candidate_8,top_fitness,0ec4201bbd3590a27e3af396c11d206e,100,120.0,"[""edge_means"", ""first"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",216,29.56007350000027,5.399070360273958,9.75172987868229,10.42098133761963,14.447948637810635,0.8791204501829123,-3.7273041272302145,0.46,34.990278431217405,3.02645064329767,6.2814235216590015,1.0,10.516092260548646,14.737633056066862,0.8742245343277368,-4.727304127230215,0.41,33.990278431217405,2.6318446165386815,6.004459129842624
candidate_6,top_fitness,80fc8539c73a5597fcc5af0c35b87a90,100,120.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std""]",168,39.35322479999991,5.257799021111221,9.604239092570188,10.461041641887578,14.4549981869054,0.8790024605312188,-3.5782836642627704,0.47,36.961897898070916,2.9708272073564475,6.26645078352199,1.0,10.54596985100533,14.734433817149675,0.8742791349665522,-4.578283664262771,0.41,35.961897898070916,2.614526629539185,5.972333136463167
candidate_12,top_fitness,07a4c6d2aace3304493b5c3533345de0,100,120.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",192,25.813252100000227,5.704498292071587,10.06366001116468,10.574954119704605,14.653271254894417,0.8756603518473456,-3.967309870702154,0.43,34.667166044084624,3.1902884090277537,5.890966760610958,0.5,10.654857366534232,14.796474861946582,0.8732181814190155,-4.467309870702154,0.41,34.167166044084624,3.0260785480373507,5.743907937081546
