model_name,source,candidate_hash,window_size,rul_cap,selected_blocks,feature_count,train_seconds,validation_MAE,validation_fitness,official_original_MAE,official_calibrated_MAE,official_original_overestimation_share,official_calibrated_overestimation_share,official_original_max_overestimation,official_calibrated_max_overestimation,official_near_failure_MAE,official_calibrated_near_failure_MAE,recommended_shift
Week 3 calibrated aggregated RF,week3_fallback,week3_reference,50,,manual_aggregated_blocks,432,,,,,12.5,,,,,,,5.0
candidate_19,top_low_overestimation,a0f534b1f9e95faf884488db1b38a229,40,125.0,"[""delta"", ""edge_means"", ""first"", ""last_minus_mean"", ""max"", ""mean"", ""median"", ""min"", ""range"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",384,59.08739710000009,7.012539259565821,11.922604795557728,9.688136306295508,9.475835903551486,0.61,0.47,37.482696858955805,35.482696858955805,3.2851714367576847,2.5771399440836937,2.0
candidate_13,top_fitness,37a068ea6aa1269c9e08a796b2d08abf,100,130.0,"[""last_minus_mean"", ""mean"", ""relative_last_minus_mean"", ""slope"", ""slope_change"", ""volatility""]",144,23.13313100000005,5.763831116230147,10.16101646548635,10.012233523558692,10.045079689516928,0.48,0.46,44.87162179980676,44.37162179980676,3.500574497103224,3.3451321194462698,0.5
candidate_25,top_mae,279244f39ffce5a97a8855b4d0b63c41,100,130.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""volatility""]",120,17.927353699999912,5.851971580962469,10.351080170383618,10.024658725018336,10.065030532892417,0.5,0.44,44.24613659912737,43.74613659912737,3.4673282133048575,3.336561453717713,0.5
candidate_15,top_fitness,77bc665d3ee1c5f41669d84adc50f19e,100,125.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",192,28.840179700000135,5.844488847458486,10.34020145130021,10.089669433299397,10.090327922153342,0.51,0.49,37.727577715331066,37.227577715331066,3.092523591113931,2.9031479751122875,0.5
candidate_7,top_fitness,4886dc07abf3b28a50d9702f86bdbedb,100,120.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""range"", ""slope"", ""slope_change"", ""std""]",192,27.50698209999996,5.365961453765631,9.723638663226648,10.35889463926905,10.377708073423419,0.49,0.47,36.564563586733854,36.064563586733854,2.930959999527785,2.7407727072483423,0.5
candidate_9,top_fitness,5b70e0dd74bb9e7e72a626433af068a8,100,120.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""rms"", ""slope"", ""slope_change"", ""std"", ""volatility""]",216,31.049699099999998,5.429385842281888,9.761128554444443,10.368465438800783,10.406604923634378,0.47,0.45,35.265519832615624,34.765519832615624,3.0817320425764323,2.8320239558085354,0.5
candidate_10,top_fitness,ef20599a6bc21aa852a0ba72976ecbc3,100,120.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",192,30.38537919999999,5.5164559268984865,9.865654783387235,10.403656500597101,10.436502026033297,0.47,0.46,34.79673716070505,34.29673716070505,3.0866622672685504,2.8666622672685502,0.5
candidate_8,top_fitness,0ec4201bbd3590a27e3af396c11d206e,100,120.0,"[""edge_means"", ""first"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",216,29.56007350000027,5.399070360273958,9.75172987868229,10.42098133761963,10.516092260548646,0.46,0.41,34.990278431217405,33.990278431217405,3.02645064329767,2.6318446165386815,1.0
candidate_6,top_fitness,80fc8539c73a5597fcc5af0c35b87a90,100,120.0,"[""edge_means"", ""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std""]",168,39.35322479999991,5.257799021111221,9.604239092570188,10.461041641887578,10.54596985100533,0.47,0.41,36.961897898070916,35.961897898070916,2.9708272073564475,2.614526629539185,1.0
candidate_12,top_fitness,07a4c6d2aace3304493b5c3533345de0,100,120.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""tail_quantiles"", ""volatility""]",192,25.813252100000227,5.704498292071587,10.06366001116468,10.574954119704605,10.654857366534232,0.43,0.41,34.667166044084624,34.167166044084624,3.1902884090277537,3.0260785480373507,0.5
candidate_11,top_fitness,1bc0f70ad5a5e2379fef6fca8b313d4e,100,120.0,"[""last_minus_mean"", ""mean"", ""slope"", ""slope_change"", ""std"", ""volatility""]",144,22.819583800000146,5.741611929806115,10.041710555701878,10.630604260976941,10.7031914217819,0.45,0.42,36.33249027284269,35.83249027284269,3.163543720125684,3.037194091881196,0.5
