selected_blocks,window_size,rul_cap,rf_max_depth,rf_min_samples_leaf,rf_min_samples_split,rf_max_features,MAE,RMSE,R2,mean_error,overestimation_share,max_overestimation,near_failure_MAE,warning_zone_MAE,feature_count,train_seconds,fitness,candidate_hash,status,from_cache,source_group,is_allowed_final_cap
"['last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,,16,4,10,0.6,7.638284648657999,11.646066346083758,0.8952118449981223,6.063497170781355,0.82,48.43663753987673,3.1859186811938516,7.928400377715493,144.0,39.88409960000001,12.943393284458427,1f251a311c4b6c9d9c38593007e33359,ok,False,cap_none,True
"['last', 'median', 'rms', 'std', 'volatility']",100,,24,1,10,0.6,8.154032480992521,12.397951837540004,0.881244546120625,5.931691411417359,0.78,41.912589721786134,3.571870480358396,8.445106368023362,120.0,23.80307640000001,13.15496406579571,7010f628f2b8f23b01c2170791b7c58a,ok,False,cap_none,True
"['last_minus_mean', 'mean', 'slope', 'std', 'volatility']",50,,16,4,10,0.6,8.00769716139721,14.243808511776145,0.8432505855559014,5.480243115954883,0.77,86.61352072977556,2.8469572632335183,8.623933468770081,120.0,59.4137283,14.258816703099962,c03e1c93bc54d09ce492393e64c3cdd2,ok,False,cap_none,True
"['delta', 'edge_means', 'first', 'max', 'mean', 'range', 'relative_delta', 'rms', 'robust_spread', 'slope_change', 'tail_quantiles', 'volatility']",100,,12,4,2,,8.817830673052267,14.675664790407636,0.8336015636765672,6.432254115409109,0.78,67.17183114273371,2.843812196635331,10.854716003330774,336.0,34.85413729999999,14.614679223198335,2898e0487ceb31f75d24456842d49660,ok,False,cap_none,True
"['edge_means', 'first', 'iqr', 'last', 'max', 'mean', 'median', 'min', 'range', 'relative_delta', 'relative_last_minus_mean', 'rms', 'slope', 'std']",50,,20,3,5,,8.895202756482314,15.528416354086454,0.8137020791421289,6.350584132296043,0.77,83.00074701092558,2.8478404413565395,10.518718857489143,360.0,58.5681759,15.113801156418171,e722a2b98432005e2fb4b3214deef2fc,ok,False,cap_none,True
"['edge_means', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std']",100,120.0,16,4,10,0.6,5.257799021111221,7.433616754694799,0.957307262016641,3.155958221428458,0.79,23.31442289757777,2.5494154807076246,7.0763536518755785,168.0,24.762281699999903,9.604239092570188,80fc8539c73a5597fcc5af0c35b87a90,ok,False,top_fitness,True
"['edge_means', 'last_minus_mean', 'mean', 'range', 'slope', 'slope_change', 'std']",100,120.0,16,4,10,0.6,5.365961453765631,7.698876684580612,0.9542060188608372,3.3572047689214752,0.79,23.461516394071595,2.53153407409859,7.282724792774526,192.0,26.55081660000019,9.723638663226648,4886dc07abf3b28a50d9702f86bdbedb,ok,False,top_fitness,True
"['edge_means', 'first', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,5.399070360273958,7.589176214195839,0.9555017483432089,3.34001734148336,0.8,21.931416247001707,2.627267572879345,7.113390629198313,216.0,27.630698499999994,9.75172987868229,0ec4201bbd3590a27e3af396c11d206e,ok,False,top_fitness,True
"['edge_means', 'last_minus_mean', 'mean', 'rms', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,5.429385842281888,7.706860498372317,0.9541109919616788,3.3048194824204478,0.79,22.53383192591538,2.5658110253238893,7.261571808979533,216.0,27.110811400000102,9.761128554444443,5b70e0dd74bb9e7e72a626433af068a8,ok,False,top_fitness,True
"['edge_means', 'last_minus_mean', 'mean', 'slope', 'slope_change', 'std', 'volatility']",100,120.0,16,4,10,0.6,5.5164559268984865,7.770653922778501,0.9533481566173976,3.404364856505479,0.78,23.733610391952837,2.70574894278428,7.51826573268555,192.0,45.64153939999994,9.865654783387235,ef20599a6bc21aa852a0ba72976ecbc3,ok,False,top_fitness,True
